ComponentId,SourceProject,DestinationProject,ConfigurationId,ConfigurationName,DateTime,Status,StatusText
keboola.sandboxes,L0 Nekter,L0 DEV,1099153514,Olo development,2024-09-19 13:33:52,Success,**Migrated**: keboola.sandboxes **Olo development** at 2024-09-19 13:33:52
keboola.sandboxes,L0 Nekter,L0 DEV,1111260789,Ivana testing,2024-09-19 13:33:52,Success,**Migrated**: keboola.sandboxes **Ivana testing** at 2024-09-19 13:33:52
keboola.sandboxes,L0 Nekter,L0 DEV,1108528140,Test,2024-09-19 13:33:52,Success,**Migrated**: keboola.sandboxes **Test** at 2024-09-19 13:33:52
keboola.python-transformation-v2,L0 Nekter,L0 DEV,1084925761,[Init] Initial config data loading,2024-09-19 13:33:53,Success,**Migrated**: keboola.python-transformation-v2 **[Init] Initial config data loading** at 2024-09-19 13:33:53
keboola.python-transformation-v2,L0 Nekter,L0 DEV,1084950084,[Init] Initial checks data loading,2024-09-19 13:33:53,Success,**Migrated**: keboola.python-transformation-v2 **[Init] Initial checks data loading** at 2024-09-19 13:33:53
keboola.wr-google-sheets,L0 Nekter,L0 DEV,1092907654,[Qu] POS Location Data Extractor,2024-09-19 13:33:53,Success,**Migrated**: keboola.wr-google-sheets **[Qu] POS Location Data Extractor** at 2024-09-19 13:33:53
keboola.python-transformation-v2,L0 Nekter,L0 DEV,1098692357,[Init] Initial load - Olo data,2024-09-19 13:33:53,Success,**Migrated**: keboola.python-transformation-v2 **[Init] Initial load - Olo data** at 2024-09-19 13:33:53
keboola.python-transformation-v2,L0 Nekter,L0 DEV,1085945860,[Init] Initial employee and labor data loading,2024-09-19 13:33:53,Success,**Migrated**: keboola.python-transformation-v2 **[Init] Initial employee and labor data loading** at 2024-09-19 13:33:53
keboola.python-transformation-v2,L0 Nekter,L0 DEV,1080669543,[ADHOC] Qu extract Empolyee and Labor  demo data,2024-09-19 13:33:53,Success,**Migrated**: keboola.python-transformation-v2 **[ADHOC] Qu extract Empolyee and Labor  demo data** at 2024-09-19 13:33:53
keboola.python-transformation-v2,L0 Nekter,L0 DEV,1117011840,[Init] Initial load accounting data from Qu,2024-09-19 13:33:53,Success,**Migrated**: keboola.python-transformation-v2 **[Init] Initial load accounting data from Qu** at 2024-09-19 13:33:53
keboola.python-transformation-v2,L0 Nekter,L0 DEV,1124204804,[ADHOC] Full load employee_labor_time_entries,2024-09-19 13:33:54,Success,**Migrated**: keboola.python-transformation-v2 **[ADHOC] Full load employee_labor_time_entries** at 2024-09-19 13:33:54
keboola.python-transformation-v2,L0 Nekter,L0 DEV,1065700964,[ADHOC] Qu extract demo data,2024-09-19 13:33:54,Success,**Migrated**: keboola.python-transformation-v2 **[ADHOC] Qu extract demo data** at 2024-09-19 13:33:54
keboola.python-transformation-v2,L0 Nekter,L0 DEV,1133377146,[ADHOC] Full load checks_payments_refund,2024-09-19 13:33:54,Success,**Migrated**: keboola.python-transformation-v2 **[ADHOC] Full load checks_payments_refund** at 2024-09-19 13:33:54
keboola.snowflake-transformation,L0 Nekter,L0 DEV,1108527922,[ADHOC] Test,2024-09-19 13:33:54,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] Test** at 2024-09-19 13:33:54
